place_id,address,category,phone_number,latitude,longitude,status,payload,name,review
JlcxpopjP5zsR7HKmJF7DAuc,"166, Dadiseth Agiyari Ln",Dry Fruit Store,NA,18.9495117,72.8258329,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Venus+Dryfruit+Store/data=!4m7!3m6!1s0x3be7cf98a269cc95:0xe702c35e24a672ec!8m2!3d18.9495117!4d72.8258329!16s%2Fg%2F11m7zjf1yc!19sChIJlcxpopjP5zsR7HKmJF7DAuc?authuser=0&hl=en&rclk=1"",""stars"":null,""numberOfReviews"":null}",Venus Dryfruit Store,"{""rating"":""NA""}"
Jf9atuhjO5zsRPw1cLi6TOS0,"WRXG+JWJ, Marine Line East, Kalbadevi Rd",Dry Fruit Store, 098191 44100,18.949077,72.827275,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Kahan+Store/data=!4m7!3m6!1s0x3be7ce18baadd67f:0x2d39932e2e5c0d3f!8m2!3d18.949077!4d72.827275!16s%2Fg%2F1ptzq7hyr!19sChIJf9atuhjO5zsRPw1cLi6TOS0?authuser=0&hl=en&rclk=1"",""stars"":4.5,""numberOfReviews"":2}",Kahan Store,"{""rating"":""4.5 stars 2 Reviews""}"
J5SFFzhjO5zsRRyrjEExnq_c,"453, Dr Vigas St",General store, 098194 99445,18.9484494,72.8258214,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Mhambrey+Stores/data=!4m7!3m6!1s0x3be7ce18ce4521e5:0xf7ab674c10e32a47!8m2!3d18.9484494!4d72.8258214!16s%2Fg%2F11bzt6_s59!19sChIJ5SFFzhjO5zsRRyrjEExnq_c?authuser=0&hl=en&rclk=1"",""stars"":4.4,""numberOfReviews"":10}",Mhambrey Stores,"{""rating"":""4.4 stars 10 Reviews""}"
J34uHWh_O5zsRAAAA0NW6R0U,"Shop No 17, Dr MB Velkar St",General store, 080803 16789,18.9473747,72.8273583,Avaliable,"{""type"":""NA"",""googleUrl"":""https://www.google.com/maps/place/Gayatri+Dry+Fruits+%26+General+Store/data=!4m7!3m6!1s0x3be7ce1f5a878bdf:0x4547bad5d0000000!8m2!3d18.9473747!4d72.8273583!16s%2Fg%2F11s0flf3vm!19sChIJ34uHWh_O5zsRAAAA0NW6R0U?authuser=0&hl=en&rclk=1"",""stars"":4.7,""numberOfReviews"":6}",Gayatri Dry Fruits & General Store,"{""rating"":""4.7 stars 6 Reviews""}"
JI7tEQyHO5zsRuTjOqMuKZwk,"Shop no. 21, 390, Sheikh Memon St",Fabric store,NA,18.9478516,72.8326657,Avaliable,"{""type"":""Delivery"",""googleUrl"":""https://www.google.com/maps/place/Shop+no.+21/data=!4m7!3m6!1s0x3be7ce214344bb23:0x9678acba8ce38b9!8m2!3d18.9478516!4d72.8326657!16s%2Fg%2F11f5ggn2vw!19sChIJI7tEQyHO5zsRuTjOqMuKZwk?authuser=0&hl=en&rclk=1"",""stars"":4.7,""numberOfReviews"":16}",Shop no. 21,"{""rating"":""4.7 stars 16 Reviews""}"
J-Vsvm43P5zsRT-TGKnEEK0s,Shop No 1,Grocery store, 098920 22461,18.946495,72.8263488,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Mahesh+Store/data=!4m7!3m6!1s0x3be7cf8d9b2f5bf9:0x4b2b04712ac6e44f!8m2!3d18.946495!4d72.8263488!16s%2Fg%2F11pc9y3p6k!19sChIJ-Vsvm43P5zsRT-TGKnEEK0s?authuser=0&hl=en&rclk=1"",""stars"":null,""numberOfReviews"":null}",Mahesh Store,"{""rating"":""NA""}"
JXbzMHqTP5zsRZTkdooheGzM,"2/C Yatin Mansion, Kalbadevi Rd",General store,070215 85631,18.9467646,72.8285104,Avaliable,"{""type"":""NA"",""googleUrl"":""https://www.google.com/maps/place/Rishi+General+Store/data=!4m7!3m6!1s0x3be7cfa41eccbc5d:0x331b5e88a21d3965!8m2!3d18.9467646!4d72.8285104!16s%2Fg%2F11rpq324v4!19sChIJXbzMHqTP5zsRZTkdooheGzM?authuser=0&hl=en&rclk=1"",""stars"":null,""numberOfReviews"":null}",Rishi General Store,"{""rating"":""NA""}"
Jf1S3kLjP5zsRWy7CYqJbT6U,"Ramwadi, Bhaji, Gully, Jagruti Mataji Marg",Disposable Items shop, 093228 52190,18.9507349,72.8280332,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Shreeji+Store/data=!4m7!3m6!1s0x3be7cfb890b7547f:0xa54f5ba262c22e5b!8m2!3d18.9507349!4d72.8280332!16s%2Fg%2F11jzz0qzym!19sChIJf1S3kLjP5zsRWy7CYqJbT6U?authuser=0&hl=en&rclk=1"",""stars"":5,""numberOfReviews"":12}",Shreeji Store,"{""rating"":""5.0 stars 12 Reviews""}"
Ji01eFIDP5zsRMeGjqDFDdzA,"WRXH+GH Mani Mahal, 353, Kalbadevi Rd",Saree Shop,NA,18.9488689,72.8288326,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Mahavir_sarees/data=!4m7!3m6!1s0x3be7cf80145e4d8b:0x30774331a8a3e131!8m2!3d18.9488689!4d72.8288326!16s%2Fg%2F11srqqd899!19sChIJi01eFIDP5zsRMeGjqDFDdzA?authuser=0&hl=en&rclk=1"",""stars"":5,""numberOfReviews"":1}",Mahavir_sarees,"{""rating"":""5.0 stars 1 Reviews""}"
J6XM-ex_O5zsRJ8rTu9XY1ZM,"602, J.S. Seth Road Next To Wadia Compound Chirabazar, Mumbai400002",General store, 097696 56169,18.945933,72.827365,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Gandhi+General+Store/data=!4m7!3m6!1s0x3be7ce1f7b3e73e9:0x93d5d8d5bbd3ca27!8m2!3d18.945933!4d72.827365!16s%2Fg%2F1ptxmrtxb!19sChIJ6XM-ex_O5zsRJ8rTu9XY1ZM?authuser=0&hl=en&rclk=1"",""stars"":4,""numberOfReviews"":1}",Gandhi General Store,"{""rating"":""4.0 stars 1 Reviews""}"
